[38.9071923, -77.0368707, 'OFFENSE', 'METHOD', 'BLOCKSITEADDRESS', 'REPORTDATETIME', 'OFFENSE : METHOD', 'BLOCKSITEADDRESS\nREPORTDATETIME'],
[38.9382301, -76.99485349999999, 'ASSAULT W/DANGEROUS WEAPON', 'KNIFE', '2900 - 2999 BLOCK OF 7TH STREET NE', '1/1/2013 1:28:00 AM', 'ASSAULT W/DANGEROUS WEAPON : KNIFE', '2900 - 2999 BLOCK OF 7TH STREET NE\n1/1/2013 1:28:00 AM'],
[38.900419, -76.990021, 'THEFT/OTHER', 'OTHERS', '1200 - 1299 BLOCK OF H STREET NE', '1/1/2013 3:00:00 AM', 'THEFT/OTHER', '1200 - 1299 BLOCK OF H STREET NE\n1/1/2013 3:00:00 AM'],
[38.9812372, -77.0223966, 'ROBBERY', 'GUN', '7400  - 7499 BLOCK OF EASTERN AVENUE NW', '1/1/2013 2:29:00 AM', 'ROBBERY : GUN', '7400  - 7499 BLOCK OF EASTERN AVENUE NW\n1/1/2013 2:29:00 AM'],
[38.90531319999999, -77.0334333, 'ASSAULT W/DANGEROUS WEAPON', 'KNIFE', '1400 - 1499 BLOCK OF M STREET NW', '1/1/2013 2:24:00 AM', 'ASSAULT W/DANGEROUS WEAPON : KNIFE', '1400 - 1499 BLOCK OF M STREET NW\n1/1/2013 2:24:00 AM'],
[38.8605033, -76.98477299999999, 'ASSAULT W/DANGEROUS WEAPON', 'KNIFE', '2300 - 2399 BLOCK OF PITTS PLACE SE', '1/1/2013 3:10:00 AM', 'ASSAULT W/DANGEROUS WEAPON : KNIFE', '2300 - 2399 BLOCK OF PITTS PLACE SE\n1/1/2013 3:10:00 AM'],
[38.8473198, -76.9960493, 'ASSAULT W/DANGEROUS WEAPON', 'GUN', '2710 - 2731 BLOCK OF MARTIN LUTHER KING JR AVENUE SE', '1/1/2013 3:12:00 AM', 'ASSAULT W/DANGEROUS WEAPON : GUN', '2710 - 2731 BLOCK OF MARTIN LUTHER KING JR AVENUE SE\n1/1/2013 3:12:00 AM'],
[38.9342272, -77.0191675, 'THEFT/OTHER', 'OTHERS', '400 - 499 BLOCK OF NEWTON PLACE NW', '1/1/2013 3:31:00 AM', 'THEFT/OTHER', '400 - 499 BLOCK OF NEWTON PLACE NW\n1/1/2013 3:31:00 AM'],
[38.91467799999999, -76.98468199999999, 'THEFT F/AUTO', 'OTHERS', 'FENWICK STREET NE AND OKIE STREET NE', '1/1/2013 3:45:00 AM', 'THEFT F/AUTO', 'FENWICK STREET NE AND OKIE STREET NE\n1/1/2013 3:45:00 AM'],
[38.9192768, -77.0393331, 'ROBBERY', 'OTHERS', 'ONTARIO ROAD NW AND OLD MORGAN SCHOOL PLACE NW', '1/1/2013 3:38:00 AM', 'ROBBERY', 'ONTARIO ROAD NW AND OLD MORGAN SCHOOL PLACE NW\n1/1/2013 3:38:00 AM'],
[38.8274899, -77.00055019999999, 'ASSAULT W/DANGEROUS WEAPON', 'GUN', '4200 - 4232 BLOCK OF 4TH STREET SE', '1/1/2013 4:23:00 AM', 'ASSAULT W/DANGEROUS WEAPON : GUN', '4200 - 4232 BLOCK OF 4TH STREET SE\n1/1/2013 4:23:00 AM'],
